Date;Match ID;League;country;Time;Status;Diff_Prob;OddAsianOverGoals_FT;AsianOverGoals_FT;OddAsianUnderGoals_FT;AsianUnderGoals_FT;corners_home;corners_away;corners_FT;corners_home_HT;corners_away_HT;Corners_HT;attack_FT;dangerous_attack_FT;possession_FT;Home;Home Pos;Home Red Cards;Home Yellow Cards;Odd_H_FT;Goals_H_HT;Goals_H_FT;Score;Odd_D_FT;Away;Away Pos;Away Red Cards;Away Yellow Cards;Odd_A_FT;Goals_A_HT;Goals_A_FT;Handicap;Corners (FT);Corners (HT);Total Goals Line (FT);Total Goals Line (HT);Dangerous Attacks (FT);Dangerous Attacks (HT);half_dangerous_attack_away;half_dangerous_attack_home;half_possession_away;half_possession_home;half_shoot_off_target_away;half_shoot_off_target_home;half_shoot_on_target_away;half_shoot_on_target_home;odds_lose_odds;odds_win_odds;odds_draw_odds;handicap_goal_over_line;handicap_goal_over_odds;handicap_goal_under_odds;handicap_goal_under_line;attack_away;attack_home;dangerous_attack_away;dangerous_attack_home;possession_away;possession_home;shoot_off_target_away;shoot_off_target_home;shoot_on_target_away;shoot_on_target_home;GoalMinutes;goal_minutes_real;goal_periods;is_extra_time;goal_scorers;goal_diff_before_list;goal_diff_after_list;period_result_before_list;period_result_after_list;pct_time_drawing;pct_time_home_winning;pct_time_away_winning;pct_time_drawing_HT;pct_time_home_winning_HT;pct_time_away_winning_HT
2026-04-21;193275683;Latvia Virsliga;Latvia;12:00;Schedule;-0.050167224080267636;2.025;3.0;1.775;3.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;Tukums 2000;9.0;0.0;0.0;2.6;0;0.0;0 - 0;3.4;BFC Daugavpils;4.0;0.0;0.0;2.3;0;0.0;0.0;0 - 0;0-0;3.0;1.25;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0
2026-04-21;193277958;Moldova Cup;Moldova;12:00;Schedule;-0.5835208802200551;1.9;3.0;1.9;3.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;Dacia Buiucani;;0.0;0.0;6.0;0;0.0;0 - 0;5.0;Sheriff Tiraspol;;0.0;0.0;1.333;0;0.0;1.5;0 - 0;0-0;3.0;1.25;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0
2026-04-21;193283764;Czech Cup;Czech Republic;12:00;Schedule;0.25983945132881303;2.0;2.5, 3.0;1.8;2.5, 3.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;FK Jablonec;;0.0;0.0;1.833;0;0.0;0 - 0;3.5;Mlada Boleslav;;0.0;0.0;3.5;0;0.0;-0.5;0 - 0;0-0;2.75;1.0;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0
2026-04-21;193283751;Croatia 3.NL;Croatia;12:30;Schedule;0.38109756097560976;1.85;3.0;1.95;3.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;NK Lokomotiva Rijeka;;0.0;0.0;1.6;0;0.0;0 - 0;4.0;NK Banjole;;0.0;0.0;4.1;0;0.0;-1.0;0 - 0;0-0;3.0;1.25;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0
2026-04-21;192608385;Estonia Meistriliiga;Estonia;12:45;Schedule;0.0;1.85;2.5, 3.0;1.95;2.5, 3.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;FC Kuressaare;;0.0;0.0;2.45;0;0.0;0 - 0;3.4;Parnu JK Vaprus;;0.0;0.0;2.45;0;0.0;0.0;0 - 0;0-0;2.75;1.25;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0
2026-04-21;193272125;Saudi Arabia Division 1;Saudi Arabia;12:55;Schedule;0.5835208802200551;1.8;3.0;2.0;3.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;Al Draih;2.0;0.0;0.0;1.333;0;0.0;0 - 0;5.0;Al Raed;7.0;0.0;0.0;6.0;0;0.0;-1.5;0 - 0;0-0;3.0;1.25;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0
2026-04-21;193280571;Bosnia & Herzegovina Premier Liga;Bosnia;13:00;Schedule;-0.059523809523809534;1.95;2.0;1.85;2.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;FK Rudar Prijedor;;0.0;0.0;2.8;0;0.0;0 - 0;2.9;Zeljeznicar;;0.0;0.0;2.4;0;0.0;0.0;0 - 0;0-0;2.0;0.75;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0
2026-04-21;193274596;Lithuania Cup;Lithuania;13:00;Schedule;-0.765988938225442;1.975;3.5;1.825;3.5;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;FK Atmosfera;;0.0;0.0;11.0;0;0.0;0 - 0;7.0;FK Zalgiris Vilnius;;0.0;0.0;1.167;0;0.0;2.25;0 - 0;0-0;3.5;1.5;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0
2026-04-21;193284019;Poland Cup Women;Poland;13:00;Schedule;-0.0444444444444444;1.8;3.0, 3.5;2.0;3.0, 3.5;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;Pogon Szczecin (W);;0.0;0.0;2.5;0;0.0;0 - 0;3.75;Czarni Sosnowiec (W);;0.0;0.0;2.25;0;0.0;0.0;0 - 0;0-0;3.25;1.5;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0
2026-04-21;192808949;Bulgaria Cup;Bulgaria;13:00;Schedule;0.3685124798098315;1.95;2.0, 2.5;1.85;2.0, 2.5;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;Ludogorets Razgrad;;0.0;0.0;1.727;0;0.0;0 - 0;3.5;CSKA Sofia;;0.0;0.0;4.75;0;0.0;-0.75;0 - 0;0-0;2.25;1.0;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0
